user,dataset,FromMe,ToCcPosition,HasAttachments,BodyLength,SubjectLength,SubjectPrefix,Bias,repliedTo
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,129-256,17-32,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,FirstOnToLine,1.0,513-1023,33-64,Other,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,513-1023,17-32,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,17-32,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,9-16,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,1.0,>1023,>64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,-3.1622776601683795,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,-3.1622776601683795,False
